date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:27	194305/194305	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202024%2011:03:26%20GMT	https://thoi-trang-trang-suc.daca.vn/lynessa/	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/index.html	(from )
18:03:27	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Nov%202024%2011:03:26%20GMT	https://thoi-trang-trang-suc.daca.vn/robots.txt		(from )
18:03:28	887/887	---M--	200	added ('OK')	image/png	etag:%225732bc559494614629cb40c230c6531a%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/images/favicon.png	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/images/favicon.png	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:28	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%22dad5e81dc1c4930bc19a52454550db41%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/bootstrap.min.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/bootstrap.min.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:28	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%228ca6f2276d4b70c59d726605959b9234%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/animate.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/animate.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:28	9748/9748	---MCZ	200	added ('OK')	text/css	etag:W/%2294d71db43f8a5165a208fdfe9f2c35ad%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/chosen.min.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/chosen.min.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:28	30782/30782	---MCZ	200	added ('OK')	text/css	etag:W/%22b807e928f6b380478af8cf251c695b6f%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/font-awesome.min.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/font-awesome.min.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:29	9762/9762	---MCZ	200	added ('OK')	text/css	etag:W/%22555f751c99393e2bcfa62731b07a6658%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/pe-icon-7-stroke.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/pe-icon-7-stroke.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:29	22618/22618	---MCZ	200	added ('OK')	text/css	etag:W/%2201fa33a7cfc78c07dd65a3b75b24aaea%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/jquery.scrollbar.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/jquery.scrollbar.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:29	792/792	---MCZ	200	added ('OK')	text/css	etag:W/%22b1334eda3e7f67a5e1f0409cb65f6a36%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/lightbox.min.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/lightbox.min.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:29	7349/7349	---MCZ	200	added ('OK')	text/css	etag:W/%22e4169f624da09973f6f7906d971acbd7%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/magnific-popup.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/magnific-popup.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:30	1330/1330	---MCZ	200	added ('OK')	text/css	etag:W/%22c1ceca4129acee2f34cc8083fb6a320d%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/slick.min.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/slick.min.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:30	3866/3866	---MCZ	200	added ('OK')	text/css	etag:W/%221551306e5ed13f88599aad748fc7055e%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/fonts/flaticon.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/fonts/flaticon.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
18:03:30	5473/5473	---MCZ	200	added ('OK')	text/css	etag:W/%228202605fd529c25d7ef46862570b88c3%22	https://thoi-trang-trang-suc.daca.vn/lynessa/assets/css/megamenu.css	D:/lynessa/thoi-trang-trang-suc.daca.vn/lynessa/assets/css/megamenu.css	(from https://thoi-trang-trang-suc.daca.vn/lynessa/)
